Epoch Accuracy TPR FPR TNR FNR
0 91.809 0.9189189 0.08450704 0.91549295 0.08108108
1 91.468 0.9031532 0.049295776 0.9507042 0.09684685
2 89.42 0.9932432 0.41549295 0.58450705 0.006756757
3 92.15 0.9189189 0.07042254 0.92957747 0.08108108
4 94.198 0.9684685 0.14084508 0.85915494 0.03153153
5 93.515 0.9797297 0.20422535 0.79577464 0.02027027
6 93.686 0.9842342 0.2112676 0.7887324 0.015765766
7 91.638 0.9887387 0.30985916 0.69014084 0.011261261
8 85.324 0.8130631 0.02112676 0.97887325 0.18693693
9 94.539 0.9707207 0.13380282 0.86619717 0.029279279
10 87.543 0.8400901 0.014084507 0.9859155 0.1599099
11 83.618 0.786036 0.0070422534 0.9929578 0.21396397
12 86.007 0.8175676 0.0070422534 0.9929578 0.18243243
13 82.765 0.777027 0.014084507 0.9859155 0.22297297
14 94.198 0.9797297 0.17605634 0.8239437 0.02027027
15 94.539 0.972973 0.14084508 0.85915494 0.027027028
16 82.082 0.7657658 0.0070422534 0.9929578 0.23423423
17 94.369 0.9617117 0.112676054 0.8873239 0.038288288
18 80.887 0.75 0.0070422534 0.9929578 0.25
19 84.642 0.8040541 0.02112676 0.97887325 0.19594595
20 94.198 0.9594595 0.112676054 0.8873239 0.04054054
21 94.71 0.954955 0.07746479 0.92253524 0.045045044
22 94.369 0.9594595 0.1056338 0.8943662 0.04054054
23 93.857 0.9684685 0.15492958 0.8450704 0.03153153
24 94.71 0.9617117 0.09859155 0.90140843 0.038288288
