Epoch Accuracy LearningRate TPR FPR TNR FNR
0 91.424 0.1 0.92081445 0.10638298 0.89361703 0.07918552
1 92.281 0.1 0.9411765 0.13475177 0.8652482 0.05882353
2 91.424 0.1 0.9072398 0.06382979 0.9361702 0.09276018
3 91.938 0.040000003 0.91402715 0.06382979 0.9361702 0.08597285
4 90.051 0.040000003 0.8800905 0.035460994 0.964539 0.1199095
5 94.168 0.040000003 0.9638009 0.12765957 0.87234044 0.036199097
6 94.168 0.040000003 0.9728507 0.15602838 0.8439716 0.027149322
7 93.997 0.016 0.95248866 0.09929078 0.9007092 0.047511313
8 93.482 0.016 0.9321267 0.056737587 0.9432624 0.06787331
9 93.997 0.016 0.95475113 0.10638298 0.89361703 0.04524887
10 93.825 0.016 0.9411765 0.07092199 0.92907804 0.05882353
11 93.654 0.0064000003 0.9366516 0.06382979 0.9361702 0.06334842
12 93.997 0.0064000003 0.95248866 0.09929078 0.9007092 0.047511313
13 94.168 0.0064000003 0.94570136 0.07092199 0.92907804 0.054298643
14 94.34 0.0064000003 0.94570136 0.06382979 0.9361702 0.054298643
15 94.168 0.0025600002 0.94570136 0.07092199 0.92907804 0.054298643
16 94.168 0.0025600002 0.94570136 0.07092199 0.92907804 0.054298643
17 93.654 0.0025600002 0.9366516 0.06382979 0.9361702 0.06334842
18 94.168 0.0025600002 0.94570136 0.07092199 0.92907804 0.054298643
19 93.825 0.0010240001 0.938914 0.06382979 0.9361702 0.061085973
20 93.997 0.0010240001 0.9411765 0.06382979 0.9361702 0.05882353
21 93.997 0.0010240001 0.9434389 0.07092199 0.92907804 0.056561086
22 93.825 0.0010240001 0.938914 0.06382979 0.9361702 0.061085973
23 94.168 0.00040960003 0.9479638 0.07801419 0.9219858 0.0520362
24 94.168 0.00040960003 0.9479638 0.07801419 0.9219858 0.0520362
25 94.168 0.00040960003 0.9479638 0.07801419 0.9219858 0.0520362
26 94.168 0.00040960003 0.9479638 0.07801419 0.9219858 0.0520362
27 94.168 0.00016384001 0.95248866 0.09219858 0.9078014 0.047511313
28 94.168 0.00016384001 0.95248866 0.09219858 0.9078014 0.047511313
29 94.168 0.00016384001 0.95248866 0.09219858 0.9078014 0.047511313
30 94.168 0.00016384001 0.95248866 0.09219858 0.9078014 0.047511313
31 94.168 6.5536005E-05 0.95248866 0.09219858 0.9078014 0.047511313
32 94.168 6.5536005E-05 0.95248866 0.09219858 0.9078014 0.047511313
33 94.168 6.5536005E-05 0.95248866 0.09219858 0.9078014 0.047511313
34 94.168 6.5536005E-05 0.95248866 0.09219858 0.9078014 0.047511313
35 94.168 2.6214404E-05 0.95248866 0.09219858 0.9078014 0.047511313
36 94.168 2.6214404E-05 0.95248866 0.09219858 0.9078014 0.047511313
37 94.168 2.6214404E-05 0.95248866 0.09219858 0.9078014 0.047511313
38 94.168 2.6214404E-05 0.95248866 0.09219858 0.9078014 0.047511313
39 94.168 1.0485762E-05 0.95248866 0.09219858 0.9078014 0.047511313
40 94.168 1.0485762E-05 0.95248866 0.09219858 0.9078014 0.047511313
41 94.168 1.0485762E-05 0.95248866 0.09219858 0.9078014 0.047511313
42 94.168 1.0485762E-05 0.95248866 0.09219858 0.9078014 0.047511313
43 94.168 4.194305E-06 0.95248866 0.09219858 0.9078014 0.047511313
44 94.168 4.194305E-06 0.95248866 0.09219858 0.9078014 0.047511313
45 94.168 4.194305E-06 0.95248866 0.09219858 0.9078014 0.047511313
46 94.168 4.194305E-06 0.95248866 0.09219858 0.9078014 0.047511313
47 94.168 1.6777219E-06 0.95248866 0.09219858 0.9078014 0.047511313
48 94.168 1.6777219E-06 0.95248866 0.09219858 0.9078014 0.047511313
49 94.168 1.6777219E-06 0.95248866 0.09219858 0.9078014 0.047511313

